Program ID of SkyWatcher Network training:5598

Program command: 
 ['TrainSkyWatcher.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Images_ROI_29_140_140', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Labels_ROI_23_127_127', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      merge train and test dataMgr into one.
                      when epoch %5 ==0, do not use mixup.
                      

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)
segmentation label: 23*127*127 with spacing size(5*2*2) segmentation label with value (0,1,2) which erases lymph node label

This is a multi-task learning. 

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.
segmentation loss function: focus loss  with weight [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.
        

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-10 16:12:26.598419
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher

Now program get 140 input files.
Infor: In all data of 140 files, respone 0 has 41 files,
	  and response 1 has 99 files 
==== Regenerate training set and validation set by random with same distribution of 0 and 1 ==== 
Infor: Validation Set has 27 files,and Training Set has 113 files
TrainTestData Input:  batchSize=4, depth=29, height=140, width=140

Info: the size of bottle neck in the net = 128* (1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 8,134,012 parameters.
Infor: Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Infor: Segmentation Cross Entropy Weight: [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)
Info: program will use 4 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 	FocalCELoss with weight of 1; 
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), 	
 test Dice_2 is for metastasis(yellow), 	
 and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), 	
 TPR_2 is for metastasis(yellow), 	
 and TPR_3 is for invaded lymph node(brown).

Dice is based on all 2D segmented slices in the volume from weak annotation, not real 3D dice.

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TsLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r
133	0.2665	0.000	0.000	0.000	0.000	0.000	0.000	0.6719	1.0000	0.5601	0.315	0.377	0.277	0.888	0.867	0.496	0.7500	1.0000
134	0.2471	0.000	0.000	0.000	0.000	0.000	0.000	0.7045	1.0000	0.5945	0.326	0.356	0.281	0.799	0.753	0.513	0.7083	1.0000
135	0.1986	0.525	0.632	0.452	0.992	0.978	0.977	0.7054	1.0000	0.5507	0.336	0.340	0.271	0.582	0.492	0.498	0.7083	1.0000
136	0.2184	0.000	0.000	0.000	0.000	0.000	0.000	0.7333	1.0000	0.7215	0.370	0.256	0.302	0.560	0.370	0.485	0.7083	1.0000
137	0.2364	0.000	0.000	0.000	0.000	0.000	0.000	0.7833	1.0000	0.6651	0.370	0.218	0.318	0.642	0.379	0.594	0.7500	1.0000
138	0.2192	0.000	0.000	0.000	0.000	0.000	0.000	0.7115	1.0000	0.5519	0.328	0.236	0.304	0.605	0.475	0.492	0.6667	1.0000
139	0.2225	0.000	0.000	0.000	0.000	0.000	0.000	0.7308	1.0000	0.5958	0.331	0.308	0.259	0.666	0.561	0.472	0.7083	1.0000
140	0.1919	0.584	0.656	0.511	0.996	0.982	0.981	0.7054	1.0000	0.7952	0.312	0.206	0.279	0.450	0.321	0.370	0.6667	1.0000
141	0.2322	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.5942	0.401	0.326	0.335	0.785	0.565	0.600	0.7083	1.0000
142	0.2182	0.000	0.000	0.000	0.000	0.000	0.000	0.6786	1.0000	0.6272	0.383	0.328	0.309	0.681	0.567	0.499	0.6667	1.0000
143	0.1979	0.000	0.000	0.000	0.000	0.000	0.000	0.7125	1.0000	0.6043	0.358	0.452	0.244	0.599	0.628	0.443	0.6667	1.0000
144	0.2332	0.000	0.000	0.000	0.000	0.000	0.000	0.8036	1.0000	0.5951	0.396	0.354	0.301	0.673	0.477	0.528	0.7500	1.0000
145	0.1895	0.616	0.700	0.532	0.995	0.976	0.981	0.7143	1.0000	0.7107	0.314	0.275	0.276	0.614	0.556	0.439	0.7500	1.0000
146	0.2257	0.000	0.000	0.000	0.000	0.000	0.000	0.6833	1.0000	0.6814	0.349	0.310	0.274	0.661	0.553	0.465	0.6667	1.0000
147	0.2276	0.000	0.000	0.000	0.000	0.000	0.000	0.6833	1.0000	0.6891	0.369	0.312	0.273	0.727	0.496	0.557	0.7500	1.0000
148	0.2346	0.000	0.000	0.000	0.000	0.000	0.000	0.8125	1.0000	0.5504	0.292	0.315	0.290	0.809	0.688	0.614	0.6667	1.0000
149	0.2252	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.5406	0.336	0.351	0.276	0.790	0.650	0.512	0.7500	1.0000
150	0.1903	0.609	0.692	0.523	0.995	0.970	0.982	0.7143	1.0000	0.6059	0.319	0.244	0.275	0.546	0.478	0.431	0.7083	1.0000
151	0.2315	0.000	0.000	0.000	0.000	0.000	0.000	0.6731	1.0000	0.6482	0.376	0.413	0.265	0.612	0.606	0.336	0.7083	1.0000
152	0.2347	0.000	0.000	0.000	0.000	0.000	0.000	0.6964	1.0000	0.6297	0.398	0.366	0.303	0.717	0.550	0.534	0.7500	1.0000
153	0.2432	0.000	0.000	0.000	0.000	0.000	0.000	0.6607	1.0000	0.6087	0.379	0.366	0.274	0.679	0.480	0.543	0.7500	1.0000
154	0.2212	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.6384	0.353	0.316	0.281	0.640	0.519	0.475	0.7083	1.0000
155	0.1916	0.600	0.682	0.522	0.997	0.986	0.986	0.7054	1.0000	0.6867	0.350	0.356	0.260	0.652	0.601	0.427	0.7083	1.0000
156	0.2262	0.000	0.000	0.000	0.000	0.000	0.000	0.7000	1.0000	0.6849	0.358	0.355	0.257	0.660	0.552	0.474	0.7500	1.0000
157	0.2371	0.000	0.000	0.000	0.000	0.000	0.000	0.6731	1.0000	0.6524	0.333	0.329	0.267	0.751	0.638	0.451	0.7083	1.0000
158	0.2391	0.000	0.000	0.000	0.000	0.000	0.000	0.6964	1.0000	0.5986	0.377	0.359	0.300	0.736	0.577	0.596	0.7500	1.0000
159	0.2182	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6563	0.362	0.368	0.254	0.702	0.593	0.450	0.7917	1.0000
160	0.1880	0.620	0.699	0.541	0.993	0.992	0.983	0.7054	1.0000	0.7999	0.329	0.287	0.278	0.500	0.410	0.439	0.7083	1.0000
161	0.2139	0.000	0.000	0.000	0.000	0.000	0.000	0.7333	1.0000	0.4892	0.358	0.362	0.314	0.850	0.766	0.591	0.7500	1.0000
162	0.2191	0.000	0.000	0.000	0.000	0.000	0.000	0.6346	1.0000	0.6270	0.349	0.328	0.289	0.757	0.681	0.468	0.6667	1.0000
163	0.2200	0.000	0.000	0.000	0.000	0.000	0.000	0.7667	1.0000	0.6155	0.388	0.366	0.298	0.730	0.558	0.504	0.7083	1.0000
164	0.2188	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6294	0.335	0.389	0.228	0.785	0.744	0.445	0.7917	1.0000
165	0.1894	0.623	0.701	0.556	0.995	0.984	0.985	0.7054	1.0000	0.7430	0.316	0.274	0.286	0.539	0.514	0.422	0.6667	1.0000
166	0.2231	0.000	0.000	0.000	0.000	0.000	0.000	0.6591	1.0000	0.5866	0.315	0.281	0.289	0.667	0.578	0.537	0.7500	1.0000
167	0.2189	0.000	0.000	0.000	0.000	0.000	0.000	0.7292	1.0000	0.6206	0.276	0.280	0.212	0.652	0.530	0.544	0.7083	1.0000
168	0.2425	0.000	0.000	0.000	0.000	0.000	0.000	0.6731	1.0000	0.6432	0.336	0.368	0.285	0.778	0.668	0.595	0.7500	1.0000
169	0.2259	0.000	0.000	0.000	0.000	0.000	0.000	0.7115	1.0000	0.6695	0.277	0.284	0.210	0.692	0.573	0.459	0.7500	1.0000
170	0.1902	0.611	0.687	0.539	0.997	0.991	0.988	0.7054	1.0000	0.7121	0.278	0.206	0.270	0.508	0.388	0.443	0.6667	1.0000
171	0.2294	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.7376	0.351	0.290	0.309	0.610	0.415	0.572	0.7500	1.0000
172	0.2089	0.000	0.000	0.000	0.000	0.000	0.000	0.6912	1.0000	0.6217	0.310	0.225	0.278	0.542	0.373	0.504	0.7500	1.0000
173	0.2247	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6308	0.383	0.373	0.291	0.742	0.657	0.434	0.6667	1.0000
174	0.2104	0.000	0.000	0.000	0.000	0.000	0.000	0.6346	1.0000	0.7020	0.342	0.377	0.257	0.739	0.680	0.457	0.6667	1.0000
175	0.1883	0.630	0.698	0.565	0.998	0.991	0.994	0.7143	1.0000	0.6955	0.303	0.275	0.248	0.536	0.453	0.437	0.7083	1.0000
176	0.2219	0.000	0.000	0.000	0.000	0.000	0.000	0.7692	1.0000	0.5746	0.346	0.379	0.291	0.757	0.733	0.556	0.6667	1.0000
177	0.2074	0.000	0.000	0.000	0.000	0.000	0.000	0.6719	1.0000	0.6839	0.376	0.355	0.290	0.643	0.464	0.530	0.7500	1.0000
178	0.2035	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6381	0.296	0.234	0.259	0.603	0.415	0.562	0.7083	1.0000
179	0.2110	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.7384	0.311	0.256	0.286	0.530	0.327	0.501	0.7083	1.0000
180	0.1861	0.653	0.724	0.572	0.997	0.986	0.992	0.7054	1.0000	0.6526	0.330	0.276	0.295	0.586	0.451	0.529	0.7083	1.0000
181	0.1983	0.000	0.000	0.000	0.000	0.000	0.000	0.7361	1.0000	0.6517	0.382	0.391	0.265	0.649	0.603	0.485	0.7917	1.0000
182	0.2050	0.000	0.000	0.000	0.000	0.000	0.000	0.7222	1.0000	0.6117	0.382	0.420	0.273	0.787	0.718	0.504	0.7500	1.0000
183	0.2238	0.000	0.000	0.000	0.000	0.000	0.000	0.6538	1.0000	0.5583	0.326	0.366	0.261	0.801	0.666	0.593	0.7083	1.0000
184	0.2330	0.000	0.000	0.000	0.000	0.000	0.000	0.6406	1.0000	0.6549	0.386	0.330	0.296	0.753	0.496	0.574	0.7083	1.0000
185	0.1867	0.598	0.668	0.532	0.996	0.988	0.987	0.7054	1.0000	0.5517	0.356	0.352	0.270	0.716	0.556	0.537	0.7500	1.0000
186	0.2258	0.000	0.000	0.000	0.000	0.000	0.000	0.6562	1.0000	0.5776	0.383	0.294	0.330	0.787	0.482	0.655	0.7083	1.0000
187	0.2039	0.000	0.000	0.000	0.000	0.000	0.000	0.6964	1.0000	0.7753	0.342	0.291	0.264	0.598	0.438	0.504	0.6667	1.0000
188	0.2072	0.000	0.000	0.000	0.000	0.000	0.000	0.7679	1.0000	0.6824	0.314	0.235	0.295	0.615	0.454	0.528	0.7500	1.0000
189	0.2156	0.000	0.000	0.000	0.000	0.000	0.000	0.6618	1.0000	0.7001	0.365	0.402	0.268	0.738	0.563	0.536	0.7083	1.0000
190	0.1894	0.625	0.676	0.563	0.998	0.996	0.991	0.7054	1.0000	0.6148	0.331	0.374	0.264	0.607	0.551	0.468	0.7083	1.0000
191	0.2385	0.000	0.000	0.000	0.000	0.000	0.000	0.7308	1.0000	0.5947	0.372	0.377	0.277	0.725	0.557	0.650	0.7500	1.0000
192	0.2390	0.000	0.000	0.000	0.000	0.000	0.000	0.6786	1.0000	0.6418	0.393	0.381	0.277	0.686	0.529	0.563	0.7500	1.0000
193	0.2210	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.6030	0.391	0.367	0.314	0.726	0.543	0.549	0.7083	1.0000
194	0.2108	0.000	0.000	0.000	0.000	0.000	0.000	0.7321	1.0000	0.6102	0.351	0.358	0.294	0.656	0.592	0.494	0.7500	1.0000
195	0.1864	0.652	0.720	0.580	0.998	0.987	0.992	0.7143	1.0000	0.7668	0.299	0.287	0.232	0.527	0.450	0.398	0.7500	1.0000
196	0.2243	0.000	0.000	0.000	0.000	0.000	0.000	0.6818	1.0000	0.6734	0.376	0.346	0.277	0.738	0.495	0.555	0.7083	1.0000
197	0.2112	0.000	0.000	0.000	0.000	0.000	0.000	0.6912	1.0000	0.5883	0.379	0.417	0.269	0.714	0.583	0.537	0.7083	1.0000
198	0.2183	0.000	0.000	0.000	0.000	0.000	0.000	0.6562	1.0000	0.5630	0.388	0.386	0.280	0.722	0.484	0.618	0.7083	1.0000
199	0.2336	0.000	0.000	0.000	0.000	0.000	0.000	0.6964	1.0000	0.5750	0.345	0.393	0.276	0.794	0.675	0.599	0.6667	1.0000
200	0.1881	0.626	0.664	0.573	0.999	0.992	0.989	0.7054	1.0000	0.6703	0.341	0.400	0.262	0.754	0.728	0.471	0.6667	1.0000
201	0.1987	0.000	0.000	0.000	0.000	0.000	0.000	0.7105	1.0000	0.6519	0.307	0.307	0.257	0.477	0.288	0.432	0.7083	1.0000
202	0.2176	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6095	0.374	0.442	0.283	0.782	0.640	0.582	0.7083	1.0000
203	0.2187	0.000	0.000	0.000	0.000	0.000	0.000	0.7321	1.0000	0.6456	0.333	0.350	0.292	0.825	0.698	0.544	0.6667	1.0000
204	0.2104	0.000	0.000	0.000	0.000	0.000	0.000	0.7031	1.0000	0.6036	0.364	0.364	0.280	0.776	0.620	0.625	0.7500	1.0000
205	0.1866	0.652	0.719	0.577	0.999	0.991	0.992	0.7143	1.0000	0.6992	0.351	0.340	0.283	0.590	0.403	0.504	0.6667	1.0000
206	0.2012	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6319	0.370	0.345	0.262	0.710	0.532	0.545	0.7500	1.0000
207	0.2326	0.000	0.000	0.000	0.000	0.000	0.000	0.6538	1.0000	0.5992	0.332	0.333	0.288	0.789	0.605	0.583	0.6667	1.0000
208	0.2128	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6907	0.310	0.245	0.279	0.538	0.349	0.511	0.7083	1.0000
209	0.2109	0.000	0.000	0.000	0.000	0.000	0.000	0.6562	1.0000	0.6497	0.359	0.328	0.304	0.735	0.623	0.566	0.7083	1.0000
210	0.1849	0.662	0.728	0.587	0.999	0.987	0.994	0.7054	1.0000	0.6774	0.371	0.296	0.304	0.589	0.397	0.519	0.7083	1.0000
211	0.2050	0.000	0.000	0.000	0.000	0.000	0.000	0.7031	1.0000	0.6403	0.362	0.382	0.302	0.764	0.682	0.572	0.7083	1.0000
212	0.2177	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6923	0.364	0.322	0.294	0.631	0.464	0.514	0.6667	1.0000
213	0.2071	0.000	0.000	0.000	0.000	0.000	0.000	0.6806	1.0000	0.6393	0.340	0.318	0.300	0.659	0.502	0.581	0.7500	1.0000
214	0.2290	0.000	0.000	0.000	0.000	0.000	0.000	0.6667	1.0000	0.5930	0.340	0.307	0.318	0.855	0.633	0.632	0.7083	1.0000
215	0.1864	0.639	0.716	0.562	0.999	0.991	0.991	0.7054	1.0000	0.7846	0.363	0.361	0.223	0.604	0.489	0.433	0.7083	1.0000
216	0.2325	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6585	0.338	0.408	0.257	0.676	0.643	0.501	0.6667	1.0000
217	0.2100	0.000	0.000	0.000	0.000	0.000	0.000	0.6136	1.0000	0.6250	0.345	0.303	0.295	0.629	0.484	0.511	0.6667	1.0000
218	0.2061	0.000	0.000	0.000	0.000	0.000	0.000	0.7344	1.0000	0.6686	0.354	0.366	0.274	0.693	0.627	0.471	0.6667	1.0000
219	0.2023	0.000	0.000	0.000	0.000	0.000	0.000	0.6500	1.0000	0.7350	0.332	0.339	0.266	0.631	0.498	0.521	0.7083	1.0000
220	0.1858	0.671	0.732	0.602	0.999	0.987	0.990	0.7054	1.0000	0.7786	0.281	0.285	0.247	0.441	0.352	0.411	0.7083	1.0000
221	0.2059	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.5534	0.360	0.350	0.289	0.759	0.548	0.590	0.7083	1.0000
222	0.2032	0.000	0.000	0.000	0.000	0.000	0.000	0.8214	1.0000	0.6894	0.342	0.323	0.279	0.742	0.582	0.568	0.7083	1.0000
223	0.2295	0.000	0.000	0.000	0.000	0.000	0.000	0.7778	1.0000	0.6566	0.339	0.327	0.266	0.795	0.569	0.619	0.7083	1.0000
224	0.2252	0.000	0.000	0.000	0.000	0.000	0.000	0.6591	1.0000	0.5923	0.362	0.312	0.293	0.756	0.535	0.644	0.7500	1.0000
225	0.1861	0.655	0.731	0.578	0.999	0.985	0.991	0.7054	1.0000	0.6778	0.381	0.331	0.299	0.667	0.479	0.577	0.7083	1.0000
226	0.2130	0.000	0.000	0.000	0.000	0.000	0.000	0.6923	1.0000	0.6584	0.327	0.266	0.254	0.643	0.442	0.524	0.6667	1.0000
227	0.2037	0.000	0.000	0.000	0.000	0.000	0.000	0.6806	1.0000	0.7787	0.322	0.280	0.279	0.614	0.425	0.515	0.7500	1.0000
228	0.2250	0.000	0.000	0.000	0.000	0.000	0.000	0.7333	1.0000	0.7452	0.354	0.315	0.276	0.715	0.483	0.565	0.6667	1.0000
229	0.2306	0.000	0.000	0.000	0.000	0.000	0.000	0.6154	1.0000	0.6464	0.362	0.341	0.283	0.754	0.605	0.539	0.7500	1.0000
230	0.1851	0.663	0.715	0.601	0.999	0.991	0.993	0.7054	1.0000	0.6268	0.360	0.400	0.262	0.591	0.513	0.522	0.7500	1.0000
231	0.2125	0.000	0.000	0.000	0.000	0.000	0.000	0.6562	1.0000	0.7321	0.384	0.321	0.304	0.598	0.423	0.506	0.6667	1.0000
232	0.2133	0.000	0.000	0.000	0.000	0.000	0.000	0.6429	1.0000	0.6739	0.338	0.306	0.277	0.655	0.437	0.557	0.6667	1.0000
233	0.2105	0.000	0.000	0.000	0.000	0.000	0.000	0.7292	1.0000	0.5869	0.311	0.270	0.278	0.658	0.497	0.577	0.6667	1.0000
234	0.2252	0.000	0.000	0.000	0.000	0.000	0.000	0.5385	1.0000	0.7314	0.324	0.341	0.274	0.763	0.614	0.525	0.6667	1.0000
235	0.1853	0.674	0.728	0.607	0.999	0.990	0.992	0.7054	1.0000	0.6909	0.358	0.368	0.277	0.612	0.516	0.482	0.7083	1.0000
236	0.2368	0.000	0.000	0.000	0.000	0.000	0.000	0.6607	1.0000	0.6011	0.339	0.324	0.266	0.803	0.576	0.597	0.7083	1.0000
237	0.2030	0.000	0.000	0.000	0.000	0.000	0.000	0.7333	1.0000	0.7740	0.366	0.323	0.270	0.589	0.425	0.497	0.7500	1.0000
238	0.2232	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.7671	0.286	0.245	0.254	0.561	0.424	0.440	0.7083	1.0000
239	0.2108	0.000	0.000	0.000	0.000	0.000	0.000	0.6071	1.0000	0.7449	0.360	0.314	0.292	0.582	0.463	0.486	0.7083	1.0000
240	0.1846	0.671	0.727	0.604	0.999	0.993	0.993	0.7054	1.0000	0.8015	0.303	0.279	0.265	0.487	0.326	0.516	0.7500	1.0000
241	0.2190	0.000	0.000	0.000	0.000	0.000	0.000	0.6607	1.0000	0.6911	0.356	0.395	0.288	0.746	0.697	0.488	0.7500	1.0000
242	0.2123	0.000	0.000	0.000	0.000	0.000	0.000	0.6923	1.0000	0.6277	0.359	0.353	0.289	0.785	0.684	0.530	0.6667	1.0000
243	0.2175	0.000	0.000	0.000	0.000	0.000	0.000	0.7344	1.0000	0.7197	0.383	0.402	0.299	0.777	0.687	0.500	0.6667	1.0000
244	0.2185	0.000	0.000	0.000	0.000	0.000	0.000	0.7727	1.0000	0.6430	0.353	0.331	0.274	0.699	0.556	0.540	0.6667	1.0000
245	0.1858	0.658	0.710	0.587	0.999	0.991	0.994	0.7054	1.0000	0.6327	0.298	0.313	0.247	0.530	0.462	0.408	0.6667	1.0000
246	0.2182	0.000	0.000	0.000	0.000	0.000	0.000	0.7292	1.0000	0.6948	0.348	0.283	0.293	0.594	0.370	0.569	0.7500	1.0000
247	0.1970	0.000	0.000	0.000	0.000	0.000	0.000	0.7083	1.0000	0.7516	0.342	0.325	0.271	0.566	0.458	0.466	0.7083	1.0000
248	0.2050	0.000	0.000	0.000	0.000	0.000	0.000	0.7727	1.0000	0.6875	0.361	0.367	0.303	0.776	0.684	0.529	0.7083	1.0000
249	0.2162	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.6983	0.355	0.340	0.255	0.623	0.513	0.472	0.7083	1.0000
250	0.1872	0.673	0.727	0.603	0.999	0.989	0.993	0.7054	1.0000	0.7034	0.376	0.390	0.259	0.681	0.650	0.360	0.7083	1.0000
251	0.2130	0.000	0.000	0.000	0.000	0.000	0.000	0.7308	1.0000	0.6502	0.333	0.367	0.271	0.597	0.608	0.440	0.6667	1.0000
252	0.2234	0.000	0.000	0.000	0.000	0.000	0.000	0.6786	1.0000	0.7469	0.358	0.366	0.277	0.748	0.628	0.518	0.7083	1.0000
253	0.2056	0.000	0.000	0.000	0.000	0.000	0.000	0.7667	1.0000	0.5963	0.366	0.348	0.299	0.784	0.632	0.583	0.7083	1.0000
254	0.2302	0.000	0.000	0.000	0.000	0.000	0.000	0.6591	1.0000	0.6912	0.365	0.334	0.287	0.699	0.567	0.487	0.6667	1.0000
255	0.1838	0.662	0.719	0.595	0.999	0.992	0.991	0.7143	1.0000	0.7171	0.334	0.355	0.260	0.565	0.537	0.347	0.6667	1.0000
256	0.2164	0.000	0.000	0.000	0.000	0.000	0.000	0.6923	1.0000	0.7596	0.368	0.379	0.253	0.713	0.604	0.496	0.7500	1.0000
257	0.2067	0.000	0.000	0.000	0.000	0.000	0.000	0.7167	1.0000	0.7365	0.400	0.334	0.314	0.648	0.412	0.536	0.7083	1.0000
258	0.2049	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.7978	0.310	0.261	0.263	0.445	0.365	0.332	0.6667	1.0000
259	0.2145	0.000	0.000	0.000	0.000	0.000	0.000	0.6786	1.0000	0.6686	0.360	0.346	0.290	0.708	0.617	0.463	0.6667	1.0000
260	0.1850	0.664	0.730	0.589	0.999	0.990	0.993	0.7054	1.0000	0.6546	0.346	0.336	0.266	0.676	0.529	0.533	0.7500	1.0000
261	0.2208	0.000	0.000	0.000	0.000	0.000	0.000	0.6731	1.0000	0.6212	0.399	0.343	0.281	0.659	0.436	0.534	0.7500	1.0000
262	0.2090	0.000	0.000	0.000	0.000	0.000	0.000	0.7667	1.0000	0.7342	0.377	0.314	0.279	0.598	0.431	0.471	0.7083	1.0000
263	0.2111	0.000	0.000	0.000	0.000	0.000	0.000	0.6607	1.0000	0.6331	0.365	0.341	0.303	0.712	0.573	0.531	0.7500	1.0000
264	0.2174	0.000	0.000	0.000	0.000	0.000	0.000	0.6591	1.0000	0.6329	0.372	0.437	0.269	0.724	0.641	0.545	0.7083	1.0000
265	0.1836	0.671	0.732	0.601	0.999	0.992	0.993	0.7054	1.0000	0.7907	0.307	0.246	0.289	0.477	0.329	0.460	0.7500	1.0000
266	0.2443	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6007	0.347	0.380	0.292	0.773	0.702	0.554	0.6667	1.0000
267	0.2009	0.000	0.000	0.000	0.000	0.000	0.000	0.7222	1.0000	0.7377	0.300	0.328	0.226	0.572	0.549	0.413	0.6667	1.0000
268	0.2131	0.000	0.000	0.000	0.000	0.000	0.000	0.6346	1.0000	0.6426	0.308	0.398	0.214	0.539	0.545	0.340	0.7083	1.0000
269	0.2175	0.000	0.000	0.000	0.000	0.000	0.000	0.6591	1.0000	0.5753	0.371	0.365	0.265	0.683	0.491	0.563	0.7083	1.0000
270	0.1843	0.672	0.734	0.600	0.999	0.991	0.992	0.7054	1.0000	0.7809	0.335	0.310	0.256	0.578	0.465	0.454	0.6667	1.0000
271	0.1925	0.000	0.000	0.000	0.000	0.000	0.000	0.7250	1.0000	0.8442	0.361	0.333	0.274	0.503	0.429	0.350	0.7083	1.0000
272	0.1934	0.000	0.000	0.000	0.000	0.000	0.000	0.6974	1.0000	0.6844	0.367	0.352	0.280	0.659	0.501	0.540	0.6667	1.0000
273	0.2041	0.000	0.000	0.000	0.000	0.000	0.000	0.7273	1.0000	0.7640	0.300	0.282	0.249	0.599	0.480	0.480	0.7083	1.0000
274	0.2156	0.000	0.000	0.000	0.000	0.000	0.000	0.7000	1.0000	0.7653	0.325	0.253	0.262	0.569	0.400	0.453	0.6667	1.0000
275	0.1843	0.670	0.744	0.597	0.999	0.992	0.993	0.7054	1.0000	0.6333	0.377	0.334	0.294	0.731	0.517	0.585	0.7500	1.0000
276	0.2225	0.000	0.000	0.000	0.000	0.000	0.000	0.6786	1.0000	0.6160	0.351	0.405	0.245	0.672	0.689	0.408	0.7083	1.0000
277	0.2042	0.000	0.000	0.000	0.000	0.000	0.000	0.6562	1.0000	0.7061	0.416	0.340	0.327	0.663	0.452	0.517	0.7083	1.0000
278	0.2060	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.6526	0.332	0.298	0.276	0.554	0.467	0.454	0.7083	1.0000
279	0.2012	0.000	0.000	0.000	0.000	0.000	0.000	0.6912	1.0000	0.7245	0.327	0.205	0.261	0.561	0.329	0.502	0.6667	1.0000
280	0.1846	0.687	0.750	0.614	0.999	0.991	0.992	0.7143	1.0000	0.6900	0.358	0.359	0.217	0.533	0.442	0.417	0.7917	1.0000
281	0.2100	0.000	0.000	0.000	0.000	0.000	0.000	0.6618	1.0000	0.7913	0.320	0.304	0.259	0.507	0.436	0.401	0.7500	1.0000
282	0.2224	0.000	0.000	0.000	0.000	0.000	0.000	0.6250	1.0000	0.7223	0.367	0.347	0.291	0.735	0.590	0.523	0.6667	1.0000
283	0.2067	0.000	0.000	0.000	0.000	0.000	0.000	0.6964	1.0000	0.6178	0.315	0.323	0.260	0.584	0.503	0.452	0.6667	1.0000
284	0.2225	0.000	0.000	0.000	0.000	0.000	0.000	0.8409	1.0000	0.7131	0.334	0.326	0.265	0.611	0.441	0.489	0.7083	1.0000
285	0.1855	0.675	0.740	0.599	0.999	0.991	0.993	0.7054	1.0000	0.8463	0.314	0.343	0.226	0.448	0.420	0.341	0.7083	1.0000
286	0.2361	0.000	0.000	0.000	0.000	0.000	0.000	0.5357	1.0000	0.6615	0.332	0.366	0.271	0.698	0.595	0.527	0.6667	1.0000
