
April 13th 09:41:

train with FocalLoss+ weight, dropput 0.2:

[c-xwu000:OvarianCancer]#/home/hxie1/anaconda3/bin/python  /home/hxie1/Projects/OvarianCancer/TrainSegV.py /home/hxie1/temp_netParameters/OvarianCancer /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainImages /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels

Program starting Time:  2019-04-12 16:31:54.787057
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels has 441 segmented slices.
Input:  batchSize=64, depth=21, height=281, width=281, NumClassfication=4

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/testLabels has 141 segmented slices.
Input:  batchSize=64, depth=21, height=281, width=281, NumClassfication=4

Network has total 12854479 parameters.
Info: network dropout rate = 0.2
Network trains from scratch.

====================Net Architecture===========================
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv3d-1      [-1, 32, 9, 139, 139]           4,032
       BatchNorm3d-2      [-1, 32, 9, 139, 139]              64
         Dropout3d-3      [-1, 32, 9, 139, 139]               0
            Conv3d-4        [-1, 64, 3, 69, 69]          92,224
       BatchNorm3d-5        [-1, 64, 3, 69, 69]             128
         Dropout3d-6        [-1, 64, 3, 69, 69]               0
            Conv3d-7       [-1, 128, 1, 33, 33]         614,528
       BatchNorm3d-8       [-1, 128, 1, 33, 33]             256
         Dropout3d-9       [-1, 128, 1, 33, 33]               0
           Conv2d-10          [-1, 256, 15, 15]         819,456
      BatchNorm2d-11          [-1, 256, 15, 15]             512
        Dropout2d-12          [-1, 256, 15, 15]               0
           Conv2d-13            [-1, 512, 7, 7]       1,180,160
      BatchNorm2d-14            [-1, 512, 7, 7]           1,024
        Dropout2d-15            [-1, 512, 7, 7]               0
           Conv2d-16            [-1, 512, 3, 3]       2,359,808
      BatchNorm2d-17            [-1, 512, 3, 3]           1,024
        Dropout2d-18            [-1, 512, 3, 3]               0
  ConvTranspose2d-19            [-1, 512, 7, 7]       2,359,808
      BatchNorm2d-20            [-1, 512, 7, 7]           1,024
        Dropout2d-21            [-1, 512, 7, 7]               0
  ConvTranspose2d-22          [-1, 256, 15, 15]       2,359,552
      BatchNorm2d-23          [-1, 256, 15, 15]             512
        Dropout2d-24          [-1, 256, 15, 15]               0
  ConvTranspose2d-25          [-1, 128, 33, 33]       1,638,528
      BatchNorm2d-26          [-1, 128, 33, 33]             256
        Dropout2d-27          [-1, 128, 33, 33]               0
  ConvTranspose3d-28        [-1, 64, 3, 69, 69]       1,228,864
      BatchNorm3d-29        [-1, 64, 3, 69, 69]             128
        Dropout3d-30        [-1, 64, 3, 69, 69]               0
  ConvTranspose3d-31      [-1, 32, 9, 139, 139]         184,352
      BatchNorm3d-32      [-1, 32, 9, 139, 139]              64
        Dropout3d-33      [-1, 32, 9, 139, 139]               0
  ConvTranspose3d-34      [-1, 1, 21, 281, 281]           8,001
      BatchNorm3d-35      [-1, 1, 21, 281, 281]               2
        Dropout3d-36      [-1, 1, 21, 281, 281]               0
           Conv2d-37          [-1, 4, 281, 281]             172
================================================================
Total params: 12,854,479
Trainable params: 12,854,479
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 6.33
Forward/backward pass size (MB): 347.20
Params size (MB): 49.04
Estimated Total Size (MB): 402.56
----------------------------------------------------------------
===================End of Net Architecture =====================

Info: program will use 4 GPUs.
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), test Dice_2 is for metastasis(yellow), and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), TPR_2 is for metastasis(yellow), and TPR_3 is for invaded lymph node(brown).

Epoch 	 TrainingLoss 	 TestLoss 	 Dice_0	Dice_1	Dice_2	Dice_3 	 TPR_0	TPR_1	TPR_2	TPR_3
146 	 0.1256 	 0.5923 	 0.272	0.577	0.202	0.007 	 0.909	0.884	0.781	0.005
147 	 0.1429 	 0.6056 	 0.302	0.586	0.243	0.000 	 0.805	0.787	0.740	0.000
148 	 0.1508 	 0.7101 	 0.282	0.571	0.224	0.000 	 0.872	0.794	0.809	0.000
149 	 0.1386 	 0.7620 	 0.257	0.559	0.184	0.000 	 0.912	0.869	0.794	0.000
150 	 0.1445 	 0.7601 	 0.262	0.566	0.188	0.000 	 0.900	0.869	0.772	0.000
151 	 0.1353 	 0.7675 	 0.257	0.553	0.204	0.000 	 0.895	0.873	0.829	0.000
152 	 0.1453 	 0.7255 	 0.270	0.568	0.215	0.000 	 0.869	0.873	0.792	0.000
153 	 0.1361 	 0.5622 	 0.280	0.575	0.222	0.004 	 0.851	0.863	0.749	0.026
154 	 0.1361 	 0.5170 	 0.262	0.565	0.197	0.004 	 0.883	0.866	0.791	0.033
155 	 0.1658 	 0.8572 	 0.242	0.576	0.162	0.000 	 0.934	0.848	0.859	0.000
156 	 0.1646 	 1.0621 	 0.266	0.552	0.198	0.000 	 0.898	0.680	0.882	0.000
157 	 0.1904 	 0.9150 	 0.283	0.584	0.226	0.000 	 0.888	0.764	0.865	0.000
158 	 0.1940 	 0.6619 	 0.243	0.564	0.186	0.001 	 0.928	0.877	0.775	0.002
159 	 0.1666 	 0.6273 	 0.242	0.554	0.192	0.001 	 0.919	0.896	0.740	0.002
160 	 0.1460 	 0.6881 	 0.248	0.553	0.209	0.000 	 0.917	0.908	0.800	0.000
161 	 0.1427 	 0.7296 	 0.251	0.566	0.200	0.000 	 0.913	0.904	0.817	0.000
162 	 0.1438 	 0.7079 	 0.257	0.577	0.196	0.000 	 0.908	0.907	0.788	0.000
163 	 0.1466 	 0.6807 	 0.267	0.572	0.208	0.000 	 0.894	0.903	0.776	0.000
164 	 0.1632 	 0.7020 	 0.263	0.550	0.208	0.000 	 0.877	0.895	0.765	0.000
165 	 0.1378 	 0.7409 	 0.251	0.553	0.191	0.000 	 0.907	0.914	0.775	0.000
166 	 0.1351 	 0.7448 	 0.257	0.567	0.191	0.000 	 0.908	0.895	0.813	0.000
167 	 0.1278 	 0.7511 	 0.266	0.573	0.204	0.000 	 0.905	0.857	0.852	0.000
168 	 0.1276 	 0.6806 	 0.254	0.581	0.194	0.000 	 0.917	0.888	0.846	0.000
169 	 0.1289 	 0.6533 	 0.260	0.570	0.207	0.005 	 0.914	0.904	0.818	0.009
170 	 0.1214 	 0.6857 	 0.269	0.565	0.212	0.000 	 0.894	0.916	0.763	0.000
171 	 0.1193 	 0.7164 	 0.277	0.572	0.222	0.000 	 0.881	0.905	0.771	0.000
172 	 0.1193 	 0.7179 	 0.277	0.577	0.220	0.000 	 0.880	0.886	0.809	0.000
173 	 0.1311 	 0.7177 	 0.256	0.571	0.180	0.000 	 0.910	0.903	0.785	0.000
174 	 0.1256 	 0.7036 	 0.263	0.568	0.192	0.000 	 0.897	0.909	0.778	0.000
175 	 0.1171 	 0.7383 	 0.271	0.566	0.210	0.000 	 0.877	0.907	0.783	0.000
176 	 0.1213 	 0.7533 	 0.273	0.578	0.210	0.000 	 0.880	0.923	0.779	0.000
177 	 0.1175 	 0.7806 	 0.275	0.572	0.213	0.000 	 0.891	0.894	0.802	0.000
178 	 0.1213 	 0.7882 	 0.264	0.577	0.199	0.000 	 0.911	0.889	0.826	0.000
179 	 0.1194 	 0.7943 	 0.271	0.578	0.208	0.000 	 0.891	0.888	0.811	0.000
180 	 0.1178 	 0.8056 	 0.274	0.576	0.211	0.000 	 0.875	0.892	0.799	0.000
181 	 0.1159 	 0.7869 	 0.263	0.579	0.193	0.000 	 0.901	0.909	0.804	0.000
182 	 0.1108 	 0.7734 	 0.260	0.568	0.194	0.000 	 0.918	0.920	0.815	0.000
183 	 0.1124 	 0.7566 	 0.268	0.567	0.201	0.000 	 0.906	0.904	0.800	0.000



April 16th, 09:03am, 2019

Summary:
1   After adding 10% gaussian noise, the training result is similar with before;
2   it still exists overfitting, training loss is about one fifth of test loss.
3   futher data augmentation, such that rotation, needs consideration.


(base) [c-xwu000:OvarianCancer]#/home/hxie1/anaconda3/bin/python  /home/hxie1/Projects/OvarianCancer/TrainSegV.py /home/hxie1/temp_netParameters/OvarianCancer /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainImages /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels 2D

Program starting Time:  2019-04-15 19:52:57.217174
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels has 441 segmented slices.
Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/testLabels has 141 segmented slices.
Info: program uses 2D input.
TrainData Input:  batchSize=64, depth=1, height=281, width=281, NumClassfication=4

TestData Input:  batchSize=64, depth=1, height=281, width=281, NumClassfication=4

Network has total 11442945 parameters.
Info: network dropout rate = 0.3
Network trains from scratch.

====================Net Architecture===========================
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 32, 139, 139]             832
       BatchNorm2d-2         [-1, 32, 139, 139]              64
         Dropout2d-3         [-1, 32, 139, 139]               0
            Conv2d-4           [-1, 64, 69, 69]          18,496
       BatchNorm2d-5           [-1, 64, 69, 69]             128
         Dropout2d-6           [-1, 64, 69, 69]               0
            Conv2d-7          [-1, 128, 33, 33]         204,928
       BatchNorm2d-8          [-1, 128, 33, 33]             256
         Dropout2d-9          [-1, 128, 33, 33]               0
           Conv2d-10          [-1, 256, 15, 15]         819,456
      BatchNorm2d-11          [-1, 256, 15, 15]             512
        Dropout2d-12          [-1, 256, 15, 15]               0
           Conv2d-13            [-1, 512, 7, 7]       1,180,160
      BatchNorm2d-14            [-1, 512, 7, 7]           1,024
        Dropout2d-15            [-1, 512, 7, 7]               0
           Conv2d-16            [-1, 512, 3, 3]       2,359,808
      BatchNorm2d-17            [-1, 512, 3, 3]           1,024
        Dropout2d-18            [-1, 512, 3, 3]               0
  ConvTranspose2d-19            [-1, 512, 7, 7]       2,359,808
      BatchNorm2d-20            [-1, 512, 7, 7]           1,024
        Dropout2d-21            [-1, 512, 7, 7]               0
  ConvTranspose2d-22          [-1, 256, 15, 15]       2,359,552
      BatchNorm2d-23          [-1, 256, 15, 15]             512
        Dropout2d-24          [-1, 256, 15, 15]               0
  ConvTranspose2d-25          [-1, 128, 33, 33]       1,638,528
      BatchNorm2d-26          [-1, 128, 33, 33]             256
        Dropout2d-27          [-1, 128, 33, 33]               0
  ConvTranspose2d-28           [-1, 64, 69, 69]         409,664
      BatchNorm2d-29           [-1, 64, 69, 69]             128
        Dropout2d-30           [-1, 64, 69, 69]               0
  ConvTranspose2d-31         [-1, 32, 139, 139]          36,896
      BatchNorm2d-32         [-1, 32, 139, 139]              64
        Dropout2d-33         [-1, 32, 139, 139]               0
  ConvTranspose2d-34         [-1, 31, 281, 281]          49,631
      BatchNorm2d-35         [-1, 31, 281, 281]              62
        Dropout2d-36         [-1, 31, 281, 281]               0
           Conv2d-37          [-1, 4, 281, 281]             132
================================================================
Total params: 11,442,945
Trainable params: 11,442,945
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.30
Forward/backward pass size (MB): 110.96
Params size (MB): 43.65
Estimated Total Size (MB): 154.91
----------------------------------------------------------------
===================End of Net Architecture =====================

Info: program will use 4 GPUs.
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), test Dice_2 is for metastasis(yellow), and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), TPR_2 is for metastasis(yellow), and TPR_3 is for invaded lymph node(brown).

Epoch 	 TrainingLoss 	 TestLoss 	 Dice_0	Dice_1	Dice_2	Dice_3 	 TPR_0	TPR_1	TPR_2	TPR_3
0 	 0.7685 	 0.7844 	 0.086	0.240	0.000	0.001 	 1.000	0.647	0.000	0.369
1 	 0.7263 	 0.7621 	 0.086	0.300	0.000	0.000 	 1.000	0.990	0.000	0.093
2 	 0.7005 	 0.7346 	 0.087	0.298	0.002	0.000 	 1.000	0.992	0.001	0.071
3 	 0.6991 	 0.7075 	 0.100	0.303	0.026	0.000 	 1.000	0.989	0.047	0.071
4 	 0.6707 	 0.6758 	 0.111	0.296	0.022	0.000 	 0.996	0.993	0.046	0.053
5 	 0.6682 	 0.6367 	 0.121	0.305	0.031	0.000 	 0.978	0.986	0.079	0.000
6 	 0.6417 	 0.6123 	 0.122	0.309	0.024	0.000 	 0.996	0.994	0.083	0.000
7 	 0.6122 	 0.6365 	 0.108	0.302	0.002	0.000 	 0.986	0.969	0.012	0.013
8 	 0.5931 	 0.5700 	 0.125	0.310	0.060	0.000 	 0.993	0.843	0.336	0.000
9 	 0.5811 	 0.4930 	 0.168	0.377	0.103	0.004 	 0.959	0.467	0.743	0.120
10 	 0.5442 	 0.4688 	 0.183	0.430	0.129	0.017 	 0.921	0.543	0.806	0.210
11 	 0.5239 	 0.4516 	 0.186	0.492	0.135	0.012 	 0.938	0.742	0.697	0.238
12 	 0.4625 	 0.4177 	 0.197	0.556	0.139	0.011 	 0.934	0.779	0.697	0.182
13 	 0.5772 	 0.4909 	 0.189	0.341	0.190	0.010 	 0.932	0.616	0.743	0.175
14 	 0.4656 	 0.4382 	 0.194	0.568	0.139	0.007 	 0.932	0.764	0.705	0.136
15 	 0.4997 	 0.3953 	 0.198	0.548	0.165	0.008 	 0.917	0.743	0.706	0.310
16 	 0.4490 	 0.4369 	 0.173	0.383	0.184	0.007 	 0.932	0.692	0.605	0.351
17 	 0.4376 	 0.3805 	 0.168	0.452	0.168	0.010 	 0.956	0.715	0.710	0.480
18 	 0.4005 	 0.3854 	 0.185	0.472	0.191	0.013 	 0.951	0.762	0.708	0.321
19 	 0.3566 	 0.4132 	 0.195	0.470	0.211	0.007 	 0.930	0.803	0.667	0.097
20 	 0.3797 	 0.4101 	 0.216	0.533	0.212	0.005 	 0.898	0.799	0.631	0.068
21 	 0.3223 	 0.3912 	 0.207	0.570	0.226	0.006 	 0.927	0.797	0.691	0.197
22 	 0.3749 	 0.4215 	 0.169	0.361	0.175	0.007 	 0.969	0.643	0.845	0.377
23 	 0.3570 	 0.3897 	 0.188	0.474	0.199	0.007 	 0.955	0.723	0.728	0.467
24 	 0.3187 	 0.3936 	 0.190	0.533	0.185	0.011 	 0.961	0.864	0.643	0.429
25 	 0.3506 	 0.4532 	 0.207	0.494	0.212	0.003 	 0.935	0.849	0.662	0.120
26 	 0.3179 	 0.4845 	 0.209	0.496	0.200	0.007 	 0.927	0.882	0.573	0.073
27 	 0.3784 	 0.4312 	 0.215	0.530	0.175	0.013 	 0.926	0.894	0.581	0.187
28 	 0.3013 	 0.3916 	 0.204	0.482	0.193	0.017 	 0.957	0.792	0.776	0.374
29 	 0.2955 	 0.4207 	 0.210	0.491	0.198	0.010 	 0.945	0.846	0.700	0.131
30 	 0.2807 	 0.4355 	 0.222	0.547	0.195	0.011 	 0.922	0.883	0.535	0.193
31 	 0.2683 	 0.4633 	 0.237	0.558	0.215	0.001 	 0.910	0.854	0.632	0.067
32 	 0.4883 	 0.5249 	 0.185	0.432	0.163	0.015 	 0.925	0.745	0.605	0.255
33 	 0.3557 	 0.4813 	 0.195	0.471	0.161	0.018 	 0.928	0.764	0.593	0.347
34 	 0.3189 	 0.4335 	 0.214	0.491	0.203	0.016 	 0.908	0.712	0.712	0.321
35 	 0.3520 	 0.4248 	 0.202	0.471	0.185	0.019 	 0.940	0.770	0.727	0.380
36 	 0.3358 	 0.4104 	 0.206	0.513	0.188	0.012 	 0.922	0.772	0.620	0.392
37 	 0.3345 	 0.3901 	 0.212	0.563	0.202	0.007 	 0.906	0.756	0.638	0.341
38 	 0.3240 	 0.4447 	 0.207	0.505	0.200	0.009 	 0.923	0.823	0.664	0.200
39 	 0.2996 	 0.4151 	 0.215	0.546	0.181	0.012 	 0.919	0.860	0.645	0.197
40 	 0.2718 	 0.3482 	 0.221	0.565	0.193	0.011 	 0.914	0.798	0.742	0.153
41 	 0.3246 	 0.3838 	 0.207	0.501	0.195	0.012 	 0.943	0.782	0.805	0.227
42 	 0.3141 	 0.3565 	 0.194	0.508	0.192	0.010 	 0.955	0.711	0.777	0.573
43 	 0.3086 	 0.3795 	 0.191	0.545	0.179	0.009 	 0.952	0.768	0.708	0.573
44 	 0.3127 	 0.4187 	 0.198	0.560	0.183	0.010 	 0.946	0.837	0.681	0.537
45 	 0.2814 	 0.4239 	 0.211	0.558	0.195	0.010 	 0.927	0.830	0.652	0.466
46 	 0.2690 	 0.4264 	 0.224	0.572	0.203	0.009 	 0.912	0.852	0.652	0.315
47 	 0.2853 	 0.4144 	 0.215	0.575	0.198	0.012 	 0.944	0.844	0.733	0.337
48 	 0.2846 	 0.3954 	 0.235	0.601	0.207	0.017 	 0.919	0.809	0.768	0.271
49 	 0.2520 	 0.3815 	 0.237	0.571	0.217	0.015 	 0.914	0.754	0.798	0.284
50 	 0.2450 	 0.3770 	 0.236	0.577	0.216	0.014 	 0.912	0.766	0.796	0.286
51 	 0.2688 	 0.4081 	 0.221	0.554	0.199	0.014 	 0.920	0.862	0.712	0.280
52 	 0.3762 	 0.4031 	 0.186	0.473	0.185	0.012 	 0.955	0.798	0.737	0.475
53 	 0.2672 	 0.4102 	 0.194	0.502	0.187	0.016 	 0.952	0.839	0.732	0.397
54 	 0.3333 	 0.4209 	 0.204	0.509	0.187	0.011 	 0.952	0.823	0.756	0.411
55 	 0.2698 	 0.4253 	 0.223	0.550	0.197	0.008 	 0.934	0.814	0.752	0.210
56 	 0.3440 	 0.4483 	 0.216	0.537	0.187	0.008 	 0.933	0.865	0.705	0.200
57 	 0.2898 	 0.4730 	 0.197	0.488	0.184	0.010 	 0.942	0.878	0.687	0.200
58 	 0.2932 	 0.4383 	 0.203	0.514	0.209	0.011 	 0.935	0.827	0.735	0.187
59 	 0.2615 	 0.4351 	 0.215	0.562	0.217	0.009 	 0.915	0.810	0.752	0.153
60 	 0.2492 	 0.4415 	 0.223	0.595	0.200	0.008 	 0.910	0.831	0.758	0.090
61 	 0.2708 	 0.4647 	 0.201	0.528	0.176	0.009 	 0.946	0.852	0.748	0.129
62 	 0.2646 	 0.4646 	 0.216	0.541	0.184	0.010 	 0.933	0.861	0.668	0.109
63 	 0.2281 	 0.4314 	 0.233	0.561	0.211	0.012 	 0.911	0.818	0.694	0.158
64 	 0.2331 	 0.4501 	 0.244	0.585	0.213	0.012 	 0.886	0.863	0.672	0.121
65 	 0.2211 	 0.4667 	 0.244	0.588	0.206	0.013 	 0.888	0.873	0.704	0.096
66 	 0.2580 	 0.4490 	 0.238	0.586	0.201	0.014 	 0.908	0.865	0.741	0.105
67 	 0.2333 	 0.4116 	 0.215	0.585	0.189	0.015 	 0.947	0.824	0.762	0.357
68 	 0.2519 	 0.4160 	 0.212	0.575	0.190	0.014 	 0.946	0.794	0.754	0.459
69 	 0.2224 	 0.4228 	 0.222	0.581	0.203	0.015 	 0.930	0.827	0.729	0.457
70 	 0.2281 	 0.4562 	 0.229	0.587	0.194	0.016 	 0.917	0.885	0.675	0.311
71 	 0.2051 	 0.4898 	 0.232	0.582	0.189	0.016 	 0.918	0.905	0.685	0.236
72 	 0.2077 	 0.4788 	 0.234	0.571	0.200	0.017 	 0.915	0.874	0.727	0.201
73 	 0.2188 	 0.4588 	 0.226	0.569	0.199	0.017 	 0.925	0.842	0.765	0.254
74 	 0.2215 	 0.4931 	 0.228	0.565	0.192	0.014 	 0.928	0.879	0.710	0.198
75 	 0.1969 	 0.4965 	 0.239	0.574	0.198	0.009 	 0.914	0.867	0.718	0.089
76 	 0.1984 	 0.5019 	 0.245	0.575	0.201	0.007 	 0.904	0.855	0.721	0.057
77 	 0.2133 	 0.5147 	 0.226	0.555	0.194	0.010 	 0.930	0.873	0.754	0.105
78 	 0.2135 	 0.5213 	 0.232	0.579	0.192	0.008 	 0.916	0.880	0.733	0.090
79 	 0.1811 	 0.5091 	 0.239	0.575	0.196	0.007 	 0.902	0.842	0.741	0.090
80 	 0.2226 	 0.4694 	 0.230	0.598	0.202	0.010 	 0.909	0.854	0.711	0.178
81 	 0.2339 	 0.4683 	 0.200	0.564	0.186	0.008 	 0.939	0.844	0.736	0.166
82 	 0.2134 	 0.4856 	 0.214	0.571	0.194	0.006 	 0.923	0.824	0.753	0.091
83 	 0.2197 	 0.5692 	 0.235	0.573	0.193	0.001 	 0.897	0.829	0.748	0.006
84 	 0.2271 	 0.6389 	 0.240	0.559	0.197	0.000 	 0.896	0.848	0.741	0.000
85 	 0.2053 	 0.6629 	 0.238	0.545	0.190	0.000 	 0.900	0.885	0.690	0.000
86 	 0.2529 	 0.6619 	 0.221	0.510	0.180	0.001 	 0.926	0.913	0.701	0.003
87 	 0.1984 	 0.5950 	 0.217	0.511	0.191	0.015 	 0.933	0.907	0.738	0.161
88 	 0.2314 	 0.5167 	 0.233	0.561	0.206	0.012 	 0.906	0.851	0.764	0.200
89 	 0.2202 	 0.5047 	 0.227	0.573	0.191	0.013 	 0.905	0.872	0.704	0.200
90 	 0.1926 	 0.4912 	 0.227	0.576	0.186	0.020 	 0.928	0.883	0.721	0.252
91 	 0.1968 	 0.4978 	 0.237	0.572	0.191	0.021 	 0.919	0.841	0.768	0.165
92 	 0.1939 	 0.5181 	 0.241	0.563	0.198	0.011 	 0.908	0.801	0.803	0.064
93 	 0.1950 	 0.5272 	 0.239	0.568	0.193	0.006 	 0.911	0.813	0.812	0.034
94 	 0.2422 	 0.5055 	 0.207	0.559	0.171	0.008 	 0.932	0.808	0.851	0.065
95 	 0.2451 	 0.5513 	 0.202	0.545	0.159	0.006 	 0.931	0.864	0.792	0.040
96 	 0.2524 	 0.5627 	 0.212	0.542	0.165	0.013 	 0.932	0.884	0.699	0.091
97 	 0.2123 	 0.5470 	 0.231	0.523	0.205	0.014 	 0.920	0.836	0.761	0.109
98 	 0.2043 	 0.5701 	 0.242	0.567	0.211	0.011 	 0.895	0.884	0.722	0.073
99 	 0.1991 	 0.6156 	 0.242	0.580	0.194	0.007 	 0.895	0.912	0.682	0.037
100 	 0.2013 	 0.6317 	 0.222	0.530	0.186	0.009 	 0.924	0.945	0.745	0.054
101 	 0.2113 	 0.5831 	 0.235	0.565	0.192	0.006 	 0.906	0.883	0.782	0.037
102 	 0.1998 	 0.4678 	 0.223	0.578	0.185	0.016 	 0.931	0.860	0.762	0.216
103 	 0.1919 	 0.4483 	 0.225	0.576	0.195	0.016 	 0.934	0.836	0.764	0.314
104 	 0.1813 	 0.4852 	 0.234	0.579	0.200	0.013 	 0.922	0.849	0.779	0.187
105 	 0.1820 	 0.5403 	 0.239	0.583	0.195	0.005 	 0.911	0.876	0.781	0.026
106 	 0.1663 	 0.5879 	 0.237	0.583	0.182	0.002 	 0.909	0.917	0.722	0.009
107 	 0.2350 	 0.5648 	 0.228	0.575	0.174	0.015 	 0.926	0.916	0.715	0.113
108 	 0.1836 	 0.5356 	 0.224	0.563	0.188	0.016 	 0.932	0.888	0.745	0.194
109 	 0.1963 	 0.5236 	 0.231	0.564	0.198	0.016 	 0.931	0.844	0.791	0.197
110 	 0.1837 	 0.5242 	 0.238	0.570	0.200	0.016 	 0.921	0.832	0.796	0.181
111 	 0.2076 	 0.5519 	 0.233	0.572	0.191	0.013 	 0.925	0.880	0.770	0.158
112 	 0.1919 	 0.5374 	 0.223	0.556	0.185	0.009 	 0.935	0.895	0.762	0.181
113 	 0.1816 	 0.5044 	 0.220	0.562	0.183	0.008 	 0.938	0.882	0.757	0.197
114 	 0.1938 	 0.4791 	 0.228	0.581	0.182	0.005 	 0.921	0.835	0.781	0.115
115 	 0.1800 	 0.4942 	 0.235	0.579	0.192	0.004 	 0.915	0.819	0.811	0.065
116 	 0.1812 	 0.5104 	 0.245	0.582	0.201	0.002 	 0.902	0.825	0.802	0.031
117 	 0.3465 	 0.5240 	 0.246	0.591	0.200	0.001 	 0.911	0.817	0.828	0.011
118 	 0.1764 	 0.5496 	 0.252	0.601	0.199	0.000 	 0.904	0.865	0.797	0.000
119 	 0.1809 	 0.5348 	 0.250	0.594	0.192	0.000 	 0.898	0.880	0.771	0.003
120 	 0.1878 	 0.4896 	 0.252	0.593	0.196	0.002 	 0.893	0.840	0.792	0.017
121 	 0.1582 	 0.4974 	 0.251	0.579	0.193	0.002 	 0.894	0.831	0.793	0.019
122 	 0.1543 	 0.5111 	 0.249	0.574	0.192	0.002 	 0.900	0.835	0.795	0.011
123 	 0.1588 	 0.5284 	 0.240	0.573	0.184	0.001 	 0.914	0.880	0.786	0.006
124 	 0.1511 	 0.5636 	 0.240	0.577	0.183	0.000 	 0.920	0.883	0.801	0.000
125 	 0.1583 	 0.6108 	 0.246	0.562	0.195	0.000 	 0.914	0.851	0.836	0.000
126 	 0.1889 	 0.6125 	 0.243	0.583	0.190	0.000 	 0.920	0.886	0.790	0.000
127 	 0.1510 	 0.6076 	 0.245	0.588	0.193	0.000 	 0.918	0.889	0.790	0.000
128 	 0.1498 	 0.6340 	 0.255	0.591	0.200	0.000 	 0.914	0.887	0.792	0.000
129 	 0.1851 	 0.6148 	 0.264	0.580	0.198	0.002 	 0.888	0.901	0.675	0.011
130 	 0.1876 	 0.5548 	 0.253	0.575	0.209	0.016 	 0.847	0.846	0.622	0.194
131 	 0.1810 	 0.5479 	 0.216	0.542	0.190	0.014 	 0.933	0.813	0.818	0.200
132 	 0.1862 	 0.5381 	 0.197	0.523	0.174	0.012 	 0.955	0.806	0.856	0.200
133 	 0.1814 	 0.5828 	 0.197	0.538	0.164	0.014 	 0.959	0.879	0.821	0.160
134 	 0.1602 	 0.6159 	 0.205	0.547	0.164	0.010 	 0.957	0.895	0.817	0.081
135 	 0.1769 	 0.5908 	 0.218	0.552	0.176	0.014 	 0.950	0.883	0.826	0.105
136 	 0.1635 	 0.5835 	 0.230	0.564	0.185	0.015 	 0.939	0.887	0.816	0.102
137 	 0.1489 	 0.5766 	 0.236	0.568	0.185	0.015 	 0.930	0.878	0.801	0.102
138 	 0.1576 	 0.5957 	 0.239	0.566	0.185	0.012 	 0.925	0.880	0.799	0.082
139 	 0.1596 	 0.6144 	 0.248	0.577	0.184	0.010 	 0.913	0.894	0.768	0.053
140 	 0.1510 	 0.6646 	 0.241	0.563	0.178	0.005 	 0.923	0.901	0.777	0.020
141 	 0.1457 	 0.6833 	 0.243	0.557	0.177	0.000 	 0.924	0.876	0.799	0.000
142 	 0.1969 	 0.5353 	 0.208	0.538	0.160	0.011 	 0.959	0.911	0.734	0.246
143 	 0.1776 	 0.4661 	 0.186	0.533	0.165	0.012 	 0.971	0.890	0.723	0.458
144 	 0.1971 	 0.4987 	 0.205	0.530	0.177	0.013 	 0.962	0.890	0.758	0.311
145 	 0.1786 	 0.5188 	 0.229	0.569	0.185	0.016 	 0.947	0.880	0.768	0.307
146 	 0.1736 	 0.5365 	 0.228	0.571	0.193	0.014 	 0.953	0.879	0.816	0.307
147 	 0.1817 	 0.4896 	 0.223	0.531	0.188	0.016 	 0.951	0.875	0.819	0.272
148 	 0.1783 	 0.4562 	 0.226	0.530	0.174	0.019 	 0.950	0.870	0.758	0.397
149 	 0.1738 	 0.4399 	 0.231	0.554	0.185	0.020 	 0.949	0.873	0.802	0.425
150 	 0.1626 	 0.4281 	 0.232	0.567	0.186	0.022 	 0.943	0.854	0.837	0.411
151 	 0.1527 	 0.4311 	 0.238	0.555	0.190	0.023 	 0.931	0.812	0.857	0.308
